SMILES,types,pCMC,pCMC_std,AW_ST_CMC,AW_ST_CMC_std,Gamma_max,Gamma_max_std,Area_min,Area_min_std,Pi_CMC,Pi_CMC_std,PC20,PC20_std,fold,SC,SA
CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,non-ionic,3.034029483795166,0.621969874,35.0,0.0,3.3710312843322754,1.2288771295543035,0.6127386093139648,0.2185608842350312,38.25510025024414,2.316370073920214,3.826726198196411,0.6790609913083346,0,2.082130751312399,2.045901964453453
CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1,non-ionic,3.3506622314453125,0.5070490887832328,31.5,0.0,3.425509214401245,1.1582556437253129,0.5723379254341125,0.2055989952076371,40.77147674560547,1.6880248153640611,4.344474792480469,0.5887945976618115,0,2.272301075198034,2.1745334989746787
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1,non-ionic,3.588406801223755,0.3397588421424169,29.0,0.0,3.4221153259277344,1.088102184098654,0.5710935592651367,0.201230563417554,43.35630798339844,1.2575271609822558,4.765470982,0.5264980010775143,0,2.272301075198034,2.294248188605403
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,non-ionic,3.741243839263916,0.2141517179141029,27.0,0.0,3.32575798034668,0.9917982260399814,0.5737625956535339,0.2117509716669769,44.35998535,1.0684906983427054,5.022000789642334,0.4135033424229268,0,2.272301075198034,2.4085893464534056
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,non-ionic,4.0,0.0,28.0,0.0,3.1395633220672607,0.8499122214269986,0.5943913459777832,0.1900222195187677,43.97,0.0,5.095944404602051,0.3630015943140861,0,2.272301075198034,2.519843263507422
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,non-ionic,3.7045321464538574,0.1832240313952954,28.8,0.0,2.9415476322174072,0.7088917592991048,0.6213015913963318,0.1724525205000269,43.339935302734375,0.9342789563477713,5.115725517272949,0.3148721373790191,0,2.272301075198034,2.6080527258744866
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,non-ionic,3.604005098342895,0.1886484252817454,28.1,0.0,2.6246538162231445,0.5020631096982976,0.6683735251426697,0.1647429352773791,42.06362915039063,0.6872127,5.096710205078125,0.2901011236532332,0,2.272301075198034,2.656416817809788
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,non-ionic,3.5152766704559326,0.1619440820256902,32.5,0.0,2.414568424224853,0.3546580517535999,0.707224429,0.1612837829738784,40.75374603271485,0.8871325977656765,4.983534336090088,0.2997633876127076,0,2.272301075198034,2.709226182390264
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,non-ionic,3.522878745,0.0,29.6,0.0,2.2941644191741943,0.2717837411226337,0.7394903898239136,0.1491677289480584,42.37,0.0,4.883673667907715,0.3340595272388416,0,2.272301075198034,2.766113240061811
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,non-ionic,3.48148606,0.0,35.5,0.0,2.2029805183410645,0.2432529475229145,0.7781809568405151,0.1386278508769496,36.47,0.0,4.8136091232299805,0.3761130586149203,1,2.272301075198034,2.826743077670944
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,non-ionic,3.35753548,0.0,35.61283493041992,1.631660396325585,2.049380302429199,0.3377447991594783,0.9040292501449584,0.1152507864141543,36.93087387084961,1.441785827689939,4.757640361785889,0.5014638744506658,1,2.272301075198034,3.254408970524362
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,non-ionic,3.142667504,0.0,37.56793975830078,3.8061812749268062,1.8960721492767336,0.4074042773595266,0.9803773760795592,0.1655473147705301,35.76011657714844,2.9518721569445763,4.816474437713623,0.474232091,1,2.272301075198034,4.528777715398455
